shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
S11_N,217,2025-06-14 15:20:46.564000,0.0,2025,6,14,15,20,46.5640000000149,37
S11_N,218,2025-06-14 15:20:50.755000,4.191,2025,6,14,15,20,50.7550000000075,37
S11_N,219,2025-06-14 15:20:54.004000,7.44,2025,6,14,15,20,54.0039999999553,37
S11_N,220,2025-06-14 15:20:57.874000,11.31,2025,6,14,15,20,57.8739999999553,37
S11_N,221,2025-06-14 15:21:05.985000,19.421,2025,6,14,15,21,5.9849999999851,37
S11_N,222,2025-06-14 15:21:09.356000,22.792,2025,6,14,15,21,9.3560000000298,37
S11_S,223,2025-06-14 15:21:29.797000,0.0,2025,6,14,15,21,29.7970000000224,38
S11_S,224,2025-06-14 15:21:35.818000,6.021,2025,6,14,15,21,35.8179999999702,38
S11_S,225,2025-06-14 15:21:39.666000,9.869,2025,6,14,15,21,39.6659999999702,38
S11_S,226,2025-06-14 15:21:43.262000,13.465,2025,6,14,15,21,43.2619999999851,38
S11_S,227,2025-06-14 15:21:47.262000,17.465,2025,6,14,15,21,47.2619999999851,38
S11_S,228,2025-06-14 15:21:51.088000,21.291,2025,6,14,15,21,51.0879999999851,38
S12_N,229,2025-06-14 15:22:32.680000,0.0,2025,6,14,15,22,32.6800000000522,39
S12_N,230,2025-06-14 15:22:36.402000,3.722,2025,6,14,15,22,36.402,39
S12_N,231,2025-06-14 15:22:40.111000,7.431,2025,6,14,15,22,40.1110000000298,39
S12_N,232,2025-06-14 15:22:47.075000,14.395,2025,6,14,15,22,47.0749999999553,39
S12_N,233,2025-06-14 15:22:50.727000,18.047,2025,6,14,15,22,50.7269999999553,39
S12_N,234,2025-06-14 15:22:54.109000,21.429,2025,6,14,15,22,54.1090000000522,39
S12_S,235,2025-06-14 15:23:08.591000,0.0,2025,6,14,15,23,8.5910000000149,40
S12_S,236,2025-06-14 15:23:16.136000,7.545,2025,6,14,15,23,16.1360000000596,40
S12_S,237,2025-06-14 15:23:23.943000,15.352,2025,6,14,15,23,23.9429999999702,40
S12_S,238,2025-06-14 15:23:27.200000,18.609,2025,6,14,15,23,27.1999999999553,40
S12_S,239,2025-06-14 15:23:31.829000,23.238,2025,6,14,15,23,31.8290000000298,40
S12_S,240,2025-06-14 15:23:35.005000,26.414,2025,6,14,15,23,35.0050000000075,40
S13_N,241,2025-06-14 15:25:14.338000,0.0,2025,6,14,15,25,14.3379999999851,41
S13_N,242,2025-06-14 15:25:19.154000,4.816,2025,6,14,15,25,19.1539999999777,41
S13_N,243,2025-06-14 15:25:23.961000,9.623,2025,6,14,15,25,23.9610000000075,41
